1 1
1,01 1
1,02 1
1,03 1
1,04 1
1,05 2
1,0600000000000001 2
1,0700000000000001 2
1,0800000000000001 2
1,0900000000000001 2
1,1000000000000001 2
1,1100000000000001 2
1,1200000000000001 2
1,1300000000000001 2
1,1400000000000001 4
1,1500000000000001 4
1,1600000000000001 4
1,1700000000000002 4
1,1800000000000002 4
1,1900000000000002 5
1,2000000000000002 5
1,2100000000000002 5
1,2200000000000002 5
1,2300000000000002 5
1,2400000000000002 5
1,2500000000000002 5
1,2600000000000002 5
1,2700000000000002 5
1,2800000000000002 6
1,2900000000000003 6
1,3000000000000003 6
1,3100000000000003 6
1,3200000000000003 6
1,3300000000000003 7
1,3400000000000003 7
1,3500000000000003 7
1,3600000000000003 7
1,3700000000000003 8
1,3800000000000003 8
1,3900000000000003 8
1,4000000000000004 8
1,4100000000000004 8
1,4200000000000004 8
1,4300000000000004 8
1,4400000000000004 8
1,4500000000000004 8
1,4600000000000004 8
1,4700000000000004 8
1,4800000000000004 8
1,4900000000000004 8
1,5000000000000004 8
1,5100000000000005 8
1,5200000000000005 8
1,5300000000000005 8
1,5400000000000005 8
1,5500000000000005 8
1,5600000000000005 8
1,5700000000000005 9
1,5800000000000005 9
1,5900000000000005 9
1,6000000000000005 9
1,6100000000000005 9
1,6200000000000006 9
1,6300000000000006 9
1,6400000000000006 10
1,6500000000000006 10
1,6600000000000006 10
1,6700000000000006 12
1,6800000000000006 12
1,6900000000000006 12
1,7000000000000006 12
1,7100000000000006 12
1,7200000000000006 12
1,7300000000000006 12
1,7400000000000007 13
1,7500000000000007 13
1,7600000000000007 13
1,7700000000000007 13
1,7800000000000007 13
1,7900000000000007 13
1,8000000000000007 13
1,8100000000000007 13
1,8200000000000007 13
1,8300000000000007 13
1,8400000000000007 13
1,8500000000000008 13
1,8600000000000008 13
1,8700000000000008 13
1,8800000000000008 13
1,8900000000000008 13
1,9000000000000008 13
1,9100000000000008 13
1,9200000000000008 14
1,9300000000000008 14
1,9400000000000008 14
1,9500000000000008 14
1,9600000000000009 14
1,9700000000000009 14
1,9800000000000009 14
1,9900000000000009 14
2,0000000000000009 14
2,0100000000000007 14
2,0200000000000005 14
2,0300000000000002 14
2,04 14
2,0499999999999998 15
2,0599999999999996 15
2,0699999999999994 15
2,0799999999999992 15
2,089999999999999 16
2,0999999999999988 16
2,1099999999999985 16
2,1199999999999983 16
2,1299999999999981 17
2,1399999999999979 18
2,1499999999999977 19
2,1599999999999975 19
2,1699999999999973 19
2,1799999999999971 19
2,1899999999999968 19
2,1999999999999966 19
2,2099999999999964 19
2,2199999999999962 19
2,229999999999996 20
2,2399999999999958 20,05
2,2499999999999956 20,05
2,2599999999999953 20,0999
2,2699999999999951 20,1496
2,2799999999999949 20,1496
2,2899999999999947 20,1496
2,2999999999999945 20,1496
2,3099999999999943 20,1496
2,3199999999999941 20,1496
2,3299999999999939 20,1496
2,3399999999999936 20,1496
2,3499999999999934 20,1496
2,3599999999999932 20,1496
2,369999999999993 20,1496
2,3799999999999928 20,1496
2,3899999999999926 20,1496
2,3999999999999924 20,1496
2,4099999999999921 20,1496
2,4199999999999919 20,1993
2,4299999999999917 20,1993
2,4399999999999915 20,1993
2,4499999999999913 20,1993
2,4599999999999911 20,1993
2,4699999999999909 20,1993
